review_tier,id,klass,title,source_decision,cap,final_review_status,final_source_priority,final_valid_from,final_valid_to,final_supersedes,final_procedure_version,final_last_verified_at,existing_phi_le_phi,final_phi_le_phi,candidate_thoi_han,final_thoi_han,candidate_mau_don,final_mau_don,suggested_authority,final_authority,paper_flag,notes
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_05_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_06_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_07_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_08_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_09_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_10_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_11_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_02_ang_ky_quan_ly_cu_tru_xoa_ang_ky_thuong_tru_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_03_ang_ky_quan_ly_cu_tru_tach_ho_02_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
